schemaVersion,recordType,source.name,source.url,collectedAt,content.entityName,content.data.employeeCount,content.data.website,content.data.batch,content.data.status,content.data.oneLiner,content.data.tags,content.data.location,content.entityNameRaw
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/icracked,2026-08-27T12:14:29Z,iCracked,51,http://icracked.com,Winter 2012,Acquired,On-demand smartphone repair in 3 countries and launching smart home…,,"San Francisco, CA, USA; Redwood City, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/booksolid,2026-08-27T12:14:29Z,BookSolid,,http://booksolid.com,Winter 2012,Inactive,BookSolid is the opentable for tour operators.,Marketplace; Travel,,
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/marft,2026-08-27T12:14:29Z,Marft,3,http://marft.com,Winter 2012,Inactive,Marft creates embeddable machine learning models for application…,Developer Tools; Machine Learning,,
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/matterport,2026-08-27T12:14:29Z,Matterport,201,http://matterport.com,Winter 2012,Public,Turn physical objects and environments into 3D models in seconds.,Computer Vision,"San Francisco, CA, USA; Sunnyvale, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/shoptiques,2026-08-27T12:14:29Z,Shoptiques,51,http://shoptiques.com,Winter 2012,Active,Shoptiques.com lets you shop the world's best local boutiques online.,E-Commerce; Retail; Fashion,"New York City, NY, USA; New York, NY, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/tilt,2026-08-27T12:14:29Z,Tilt,51,http://tilt.com,Winter 2012,Acquired,"Mobile crowdfunding: The easiest way to collect, fundraise, and sell…",Crowdfunding,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/flutter,2026-08-27T12:14:29Z,Flutter,2,http://flutterapp.com,Winter 2012,Acquired,Flutter combined computer vision technology with the built-in webcams…,Computer Vision,"Los Angeles, CA, USA; Santa Monica, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/yourmechanic,2026-08-27T12:14:29Z,YourMechanic,115,http://yourmechanic.com,Winter 2012,Acquired,"Car Repairs, Reinvented:a. Mechanic comes to your home or work to fix…",Automotive,"San Francisco, CA, USA; Mountain View, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/glider,2026-08-27T12:14:29Z,Glider,2,http://glider.io,Winter 2012,Inactive,We filter distracting emails away from your inbox.,Productivity; Email,"Portland, OR, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/givespark,2026-08-27T12:14:29Z,GiveSpark,1,http://givespark.com/,Winter 2012,Inactive,Givespark was a celebrity charity fundraising platform,Nonprofit; Fundraising,"San Francisco, CA, USA; Palo Alto, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/shopular,2026-08-27T12:14:29Z,Shopular,11,http://shopular.com,Winter 2012,Acquired,"Deals, Coupons & Cash Back for your favorite stores.",E-Commerce; Retail,"San Francisco, CA, USA; Redwood City, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/streak,2026-08-27T12:14:29Z,Streak,35,http://streak.com,Summer 2011,Active,Streak transforms Gmail into a powerful CRM,SaaS,"San Francisco, CA, USA; Remote",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/agilemd,2026-08-27T12:14:29Z,AgileMD,19,https://agilemd.com,Summer 2011,Active,Predictive analytics and clinical pathways for hospitals ,Machine Learning; Healthcare,"San Francisco, CA, USA; Remote",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/zenbox,2026-08-27T12:14:29Z,Zenbox,2,http://zenboxapp.com,Summer 2011,Inactive,"Brings dozens of SaaS's (Mailchimp, Stripe, Shopify, Salesforce,…",SaaS; Productivity; Email,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/sift,2026-08-27T12:14:29Z,Sift,,https://sift.com/,Summer 2011,Active,The Leader in Digital Trust & Safety,Fintech; Machine Learning; SaaS; B2B,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/leadgenius,2026-08-27T12:14:29Z,LeadGenius,50,http://leadgenius.com,Summer 2011,Active,LeadGenius is an account-based marketing and lead generation…,B2B; Sales; Marketing; AI,"San Francisco, CA, USA; Berkeley, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/perfect-audience,2026-08-27T12:14:29Z,Perfect Audience,11,http://perfectaudience.com,Summer 2011,Acquired,Self-service display advertising for SaaS and online retail.,SaaS; Advertising,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/userfox,2026-08-27T12:14:29Z,Userfox,2,http://userfox.com,Winter 2011,Inactive,User retention as a service.  Drip email,SaaS; Marketing,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/inporia,2026-08-27T12:14:29Z,Inporia,11,http://inporia.com,Winter 2011,Inactive,Fashion shopping email list.,E-Commerce; Retail; Fashion,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/beetailer,2026-08-27T12:14:29Z,Beetailer,2,http://beetailer.com,Winter 2011,Inactive,Facebook stores.,E-Commerce; Retail,"San Francisco, CA, USA; Mountain View, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/talkable,2026-08-27T12:14:29Z,Talkable,76,http://talkable.com,Winter 2011,Active,Online store referrals.,E-Commerce; Referrals,"San Francisco, CA, USA",
